كد درس,نام درس,نوع درس,تعداد واحد نظري,تعداد واحد عملي,كد ارائه کلاس درس,نام كلاس درس,مقطع ارائه درس,نوع ارائه,سطح ارائه,حداقل ظرفيت,حداكثر ظرفيت,تعداد ثبت نامي تاکنون,زمانبندي تشکيل کلاس,زمان امتحان,استاد,ساير اساتيد,مكان برگزاري,دانشجويان مجاز به اخذ کلاس,گروه آموزشی,دانشکده,واحد,استان
99062,ورزش 1,عملي,0,1,1636255,خواهران,كارشناسي پيوسته,حضوري,ارائه در سطح دانشکده,,15,,سه شنبه  از 09:15 تا 11:00,1403/09/27 از 09:30 تا 11:00,کاملیا عبدی,,163 - شيراز-سالن ورزشی هنر و معماری 1,,گروه آموزشي دروس عمومي(7116399),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
99062,ورزش 1,عملي,0,1,1636254,خواهران,كارشناسي پيوسته,حضوري,ارائه در سطح دانشکده,,15,,يكشنبه  از 12:00 تا 13:30,1403/09/25 از 08:00 تا 10:00,محدثه بسیجی,,163 - شيراز-ورزشی پردیس 1 سالن ب,,گروه آموزشي دروس عمومي(7116399),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
99062,ورزش 1,عملي,0,1,1636253,خواهران,كارشناسي پيوسته,حضوري,ارائه در سطح دانشکده,,15,,يكشنبه  از 10:30 تا 12:00,1403/09/25 از 08:00 تا 10:00,محدثه بسیجی,,163 - شيراز-ورزشی پردیس 1 سالن ب,,گروه آموزشي دروس عمومي(7116399),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
99062,ورزش 1,عملي,0,1,1636252,خواهران,كارشناسي پيوسته,حضوري,ارائه در سطح دانشکده,,15,,يكشنبه  از 09:00 تا 10:30,1403/09/25 از 08:00 تا 10:00,محدثه بسیجی,,163 - شيراز-ورزشی پردیس 1 سالن ب,,گروه آموزشي دروس عمومي(7116399),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
99062,ورزش 1,عملي,0,1,1636251,خواهران,كارشناسي پيوسته,حضوري,ارائه در سطح دانشکده,,15,,يكشنبه  از 07:30 تا 09:00,1403/09/25 از 08:00 تا 10:00,محدثه بسیجی,,163 - شيراز-ورزشی پردیس 1 سالن ب,,گروه آموزشي دروس عمومي(7116399),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
4628143773,مباحث ویژه 1,نظري,3,0,1633154281,,كارشناسي پيوسته,حضوري,ارائه در سطح گروه آموزشی,,40,,چهارشنبه  از 10:15 تا 11:45 چهارشنبه  از ...,1403/07/01 از 06:28 تا 06:29,سعید صدیقی,,,,گروه آموزشي کامپيوتر و فناوري اطلاعات(7116330),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
90881,آشنایی با دفاع مقدس,نظري,2,0,1638111046,برادران,كارشناسي پيوسته,حضوري,ارائه در سطح دانشکده,,45,,چهارشنبه  از 16:45 تا 18:30,1403/10/09 از 15:30 تا 17:00,مسيح گلکاري,,دانشکده مهندسی دو-209,,گروه آموزشي دروس عمومي(7116399),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
90881,آشنایی با دفاع مقدس,نظري,2,0,1638111045,خواهران,كارشناسي پيوسته,حضوري,ارائه در سطح دانشکده,,45,,چهارشنبه  از 15:00 تا 16:45,1403/10/09 از 15:30 تا 17:00,مسيح گلکاري,,دانشکده مهندسی دو-209,,گروه آموزشي دروس عمومي(7116399),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
90881,آشنایی با دفاع مقدس,نظري,2,0,1638111044,برادران ویژه ترم یک,كارشناسي پيوسته,حضوري,ارائه در سطح دانشکده,,0,,چهارشنبه  از 13:15 تا 15:00,1403/10/09 از 15:30 تا 17:00,مسيح گلکاري,,دانشکده مهندسی دو-209,,گروه آموزشي دروس عمومي(7116399),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
90881,آشنایی با دفاع مقدس,نظري,2,0,1638111041,خواهران ویژه ترم یک,كارشناسي پيوسته,حضوري,ارائه در سطح دانشکده,,0,,چهارشنبه  از 11:00 تا 11:45 چهارشنبه  از ...,1403/10/09 از 15:30 تا 17:00,مسيح گلکاري,,,,گروه آموزشي دروس عمومي(7116399),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
98923,آیین زندگی (اخلاق کاربردی),نظري,2,0,163811631,برادران ویژه ترم یک,كارشناسي پيوسته,حضوري,ارائه در سطح دانشکده,,0,,دوشنبه  از 07:30 تا 09:15,1403/10/17 از 15:30 تا 17:00,مرتضی حق شناس,,دانشکده علوم انسانی-202,,گروه آموزشي دروس عمومي(7116399),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
98923,آیین زندگی (اخلاق کاربردی),نظري,2,0,163811630,برادران ویژه ترم یک,كارشناسي پيوسته,حضوري,ارائه در سطح دانشکده,,0,,دوشنبه  از 11:00 تا 11:45 دوشنبه  از  از ...,1403/10/17 از 15:30 تا 17:00,مرتضی حق شناس,,,,گروه آموزشي دروس عمومي(7116399),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
98923,آیین زندگی (اخلاق کاربردی),نظري,2,0,1638111629,خواهران,كارشناسي پيوسته,حضوري,ارائه در سطح دانشکده,,45,,دوشنبه  از 09:15 تا 11:00,1403/10/17 از 15:30 تا 17:00,مرتضی حق شناس,,دانشکده علوم انسانی-202,,گروه آموزشي دروس عمومي(7116399),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
